id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
54191,True,Tehran,Friday 12PM,"سالم 
همراه با دو عدد قاب
دورش یه خورده خوردگی داره
 شارژر",2,NA,mobile,220000,گوشی موبایل هواوی g730,NA,NA
54232,True,Tehran,Tuesday 07AM,لوازم کامل lla,2,NA,mobile,1550000,اپل 6 64 گیگ,NA,NA
54393,True,Tehran,Saturday 02PM,"256 گیگ
Lla
اکبند",2,NA,mobile,3350000,Iphone7,NA,NA
54462,True,Tehran,Wednesday 06PM,"گوشی خریدم۳۲۵۰۰۰،ولی چون از اول خیلی هوواوی دوست نداشتم از انتخابم پشیمون شدم و دارم با ضرر میفروشم،گوشی کاملا سالم،گارانتی هم داره،لطفا اس ام اس بدین،تلگرام هستم
،دو سیم 4g
4.5 اینچ صفحه
۵mp دوربین
سی پیو  ۴هسته ایی
اندروید ۵.۱",1,NA,mobile,295000,گوشی هواویy3 2,NA,NA
54487,True,Tehran,Sunday 04AM,"آیفون ٥ مشکی ٣٢گیگ سالم بدونه ضربه بدونه خوردگی جعبه و لوازم کامل 
معاوضه ندارم",3,NA,mobile,700000,آیفون٥ مشکی ٣٢گیگ,NA,NA
54541,True,Kermanshah,Thursday 06PM,"گوشی سه ماهه ک خریداری شده و به عنوان گوشی دوم بوده ک کلا تو خانه استفاده شده، حتی بعضی برچسبهاش هم هنوز روشه و نو نوه. بدون کوچکترین خط و خش و یا عیبی و تمام وسایل و کارتونش موجوده و ی گارد ژله ای و محافظ صفحه ضد ضربه هم روشه. ساخت کره هست و با این سری جدیدای چینی خیلی فرق داره. مشخصاتشم که خودتون میدونید و غولیه برای خودش. 1سال و نیم هم گارانتی داره ک تمدید شده.
مدل 16 گیگ تک سیم و فورجی.",2,NA,mobile,670000,lg g3 (سه ماه کارکرده),NA,NA
54558,False,Kermanshah,Monday 04PM,"شارژ فوق العاده خوب اگه یه روز باهاش کار کنی شارژش تموم میشه. اندروید 5.دوربین جلو 5مگاپیکسل  فلاش دارد. دوربین عقب 8مگاپیکسل فلاش دارد. 
دوسیمکارته. 3g.ساپورت رم تا 16گیگ.
.گوشیمو خیلی دوس دارم. اصلا هنگ نمیکنه. وایفا شکن عاللیم نصبه. کل برنامه هامم آخرین ورژنه. یه هفته هر مشکلی داشت مال خودمه. قیمتم مقطوعه.رنگ موبایل سفید",0,NA,mobile,500000,گوشی موبایل سونی c3,NA,NA
54687,True,Ahvaz,Wednesday 04PM,گوشی ۱ ماه کارکرده فوق العاده تمیزو آک دوسیم قیمت مقطوع قیمت فعلی بازار$NUM,3,NA,mobile,250000,هواوی G630,NA,NA
55164,False,Ahvaz,Sunday 04PM,یه گوشی هواوی پی هفت دارم فور جیه لازم به تعریف نداره چون همه امکاناتش رو میدونید گوشی سالم و بدون هیچ خط و خش خیلی تمیزه توی عکسا هم معلومه .شارژر و کارتون و هندزفری داره فقط هندزفری اصلیش شکست یه هندزفری دیگه خریدم براش .اگه با قیمت مشکلی ندارید پیام بدید .قیمت مقطوع,4,NA,mobile,500000,گوشی p7,NA,NA
55189,False,Karaj,Monday 07PM,"3 ماه استفاده شده .بدون ایراد و ضربه.
با خریدار راه میام.",2,NA,mobile,750000,هوآوی p7 در حد نو.,NA,NA
55208,True,Tehran,Saturday 05AM,گوشی وای فایش کار نمیکنه ولی بقیه مواردش همگی سالم هستش باطری شارژ عالی نگه میداره،و گوشی 4G هستش با ios 10.1 بدون لوازم معاوضه هم ندارم قیمت هم مقطوع میباشد.با تشکر از دیوار,2,NA,web,350000,آیفون 5c صورتی ١٦ گیگ,NA,NA
55302,True,Tehran,Thursday 04PM,نو نو به شرط شارژ عالی در حد,2,NA,mobile,270000,G610,NA,NA
55312,True,Tehran,Sunday 04AM,"باسلام    
گوشی نونو هستش اگه شما یدونه خط تو صفحش پیدا کردید گوشی مجانی برای شما حتی یه خط ریز 
چند روزه خریدم گوشیه خوبیه پرسرعته 
اکبندش 200 تومن به بالاس اینم با اکبندش فرقی نداره خریدار باشید یه تخفیف کوچیکم میدم",1,NA,mobile,140000,HUAWEI Y210   (قیمت عالی),NA,NA
55335,True,Ahvaz,Thursday 10AM,"گوشی درحدنوووووسری اولn9000باوسایل کامل معاوضه هم میکنم فقط باهمرده...
دوربین13
حافظه داخلی32رم3
اندورید5
شبکه3g
دارای اتصال کنترول تلویزیون ازراه دور
صفحه5.7LEDاینج
بامشتری واقعی کنارمیام...
باتشکر:",4,NA,mobile,800000,نوت3بخونید,NA,NA
55394,True,Tehran,Saturday 02AM,"سلام گوشی الجی v10 رنگ سفید حافظه داخلی 32لوازم کامل با2سال گارانتی 
گوشی حد نو نو خیلی تمیز.   تخفیف جزیی",0,NA,mobile,1300000,الجی v10,NA,NA
55490,True,Kermanshah,Monday 04PM,گوشی کاملاسالم یک ماهه  کارکرده,1,NA,mobile,380000,گوشی سامسونگ گرندپریم,NA,NA
55563,True,Kermanshah,Thursday 02PM,"گوشی کاملا سالم و تضمینی میباشد/
در حد اک /
بدون ضربه و خطوخش/
پارت نامبر LLA/
حافظه داخلی 16GB/
پشت پلمپ/
تعمیری نیس ،رفرشم نیس/
برنامه روشه از جمله تلگرام،واتساپ،دیوار وغیره/
اپل ایدی هم داره/
باتریشم تا 2روز یکروزو نصفی با نت یکسره ، شارژ نگه میداره/
کارتون وشارژر و1گارد ژله ی هم داره،فقط هندزفری نداره،لطفا سوال نکنید/
معاوضه جهت تنوع فقط با سونی،هواوی،سامسونگ/
با آیفون 5 هم معاوضه دارم/
نقدیم بفروش میرسه اگه کسی خاست/
اس،تماس وتلگرام 24 ساعت پاسخگوم.",2,NA,mobile,550000,معاوضه یا فروش آیفون 4s درحد آک,NA,NA
55665,True,Shiraz,Saturday 03PM,"گوشی اپل 4اس(٣٢گیگ)بدون خط و خش سالم به شرط .باطری سالم شارژ کم نمیکنه.
فقط همیجور که داخل عکس معلومه گلس یا همون ضد ضربه روی گوشی شکسته ولی گوشی ضربه نداره تخفیف هم داره .یاعلی",3,NA,mobile,450000,گوشی اپل٤s,NA,NA
